freq,rx,tx,user,band
2.0,2.0,30.0,ลาดกระบัง,MF
2.82,2.82,2.82,การไฟฟ้า,MF
2.84,2.84,2.84,ตำรวจ,MF
3.001,3.001,3.001,กองทัพอากาศ,HF
3.023,3.023,3.023,กองทัพอากาศ,HF
3.125,3.125,3.125,กองทัพอากาศ,HF
3.1565,3.1565,0.0,ทหารสื่อสาร,HF
3.24,3.24,ไม่มี,ทหารสื่อสาร,HF
3.27,3.27,ไม่มี,ทหารสื่อสาร,HF
3.2955,3.2955,ไม่มี,ทหารสื่อสาร,HF
3.34,3.34,ไม่มี,ทหารสื่อสาร,HF
3.36,3.36,ไม่มี,ทหารสื่อสาร,HF
3.38,3.38,ไม่มี,ทหารสื่อสาร,HF
3.39,3.39,ไม่มี,ทหารสื่อสาร,HF
3.411,3.411,3.411,กองทัพอากาศ,HF
3.45,3.45,3.45,กองทัพอากาศ,HF
3.494,3.494,ไม่มี,วิทยุการบิน,HF
3.499,3.499,3.499,กองทัพอากาศ,HF
3.595,3.595,ไม่มี,ทหารสื่อสาร,HF
3.6,3.6,ไม่มี,ทหารสื่อสาร,HF
3.61,3.61,ไม่มี,ทหารสื่อสาร,HF
3.615,3.615,ไม่มี,ทหารสื่อสาร,HF
3.63,3.63,ไม่มี,กรมทางหลวง,HF
3.647,3.647,ไม่มี,ทหารสื่อสาร,HF
3.705,3.705,ไม่มี,ทหารสื่อสาร,HF
3.71,3.71,ไม่มี,ทหารสื่อสาร,HF
3.7135,3.7135,ไม่มี,ทหารสื่อสาร,HF
3.73,3.73,ไม่มี,กรมทางหลวง,HF
3.7565,3.7565,ไม่มี,ทหารสื่อสาร,HF
3.785,3.785,3.785,บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด,HF
3.805,3.805,3.805,กองทัพอากาศ,HF
3.81,3.81,ไม่มี,ทหารสื่อสาร,HF
3.82,3.82,ไม่มี,ทหารสื่อสาร,HF
3.83,3.83,ไม่มี,กรมทางหลวง,HF
3.84,3.84,ไม่มี,ทหารสื่อสาร,HF
3.847,3.847,ไม่มี,ทหารสื่อสาร,HF
3.85,3.85,3.85,กองทัพอากาศ,HF
3.8735,3.8735,3.8735,กองทัพอากาศ,HF
3.9,3.9,ไม่มี,ทหารสื่อสาร,HF
3.91,3.91,3.91,กองทัพอากาศ,HF
3.9215,3.9215,ไม่มี,ทหารสื่อสาร,HF
3.945,3.945,3.945,กองทัพอากาศ,HF
3.95,3.95,3.95,กองทัพอากาศ,HF
3.955,3.955,3.955,กระทรวงสาธารณสุข,HF
3.967,3.967,ไม่มี,ทหารสื่อสาร,HF
3.977,3.977,ไม่มี,ทหารสื่อสาร,HF
3.98,3.98,ไม่มี,ทหารสื่อสาร,HF
3.985,3.985,ไม่มี,ทหารสื่อสาร,HF
3.992,3.992,ไม่มี,ทหารสื่อสาร,HF
3.9955,3.9955,ไม่มี,ทหารสื่อสาร,HF
4.0,4.0,ไม่มี,ทหารสื่อสาร,HF
4.02,4.02,4.02,กองทัพอากาศ,HF
4.028,4.028,ไม่มี,ทหารสื่อสาร,HF
4.05,4.05,ไม่มี,ทหารสื่อสาร,HF
4.0585,4.0585,ไม่มี,ทหารสื่อสาร,HF
4.06,4.06,ไม่มี,ทหารสื่อสาร,HF
4.074,4.074,4.366,กรมประมง,HF
4.075,4.075,4.075,ตำรวจ,HF
4.085,4.085,4.085,ตำรวจ,HF
4.095,4.095,4.095,ตำรวจ,HF
4.12,4.12,ไม่มี,ทหารสื่อสาร,HF
4.125,4.125,4.417,การท่าเรือแห่งประเทศไทย,HF
4.135,4.135,4.135,ทหารสื่อสาร,HF
4.14,4.14,ไม่มี,กรมสื่อสารทหารเรือ,HF
4.146,4.146,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
4.15,4.15,ไม่มี,ทหารสื่อสาร,HF
4.155,4.155,4.155,ทหารสื่อสาร,HF
4.16,4.16,ไม่มี,ทหารสื่อสาร,HF
4.165,4.165,4.165,ตำรวจ,HF
4.17,4.17,4.17,ตำรวจ,HF
4.175,4.175,4.175,ตำรวจ,HF
4.1775,4.1775,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
4.18,4.18,ไม่มี,ทหารสื่อสาร,HF
4.19,4.19,ไม่มี,ทหารสื่อสาร,HF
4.195,4.195,ไม่มี,ทหารสื่อสาร,HF
4.2,4.2,ไม่มี,ทหารสื่อสาร,HF
4.205,4.205,ไม่มี,ทหารสื่อสาร,HF
4.2075,4.2075,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
4.21,4.21,ไม่มี,ทหารสื่อสาร,HF
4.215,4.215,ไม่มี,ทหารสื่อสาร,HF
4.22,4.22,ไม่มี,ทหารสื่อสาร,HF
